countryCode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate,Late,countlate,repeatCust,InvoiceQuarter,InvoiceAmount_bin_b. more than 60,Prediction
818,69,11/21/2012,42511106,2012-11-07,12/7/2012,50.02,0,11/18/2012,1,11,0,0,0,0.0,4,0,0.00013259661066157934
391,80,3/19/2013,46372811,2013-02-21,3/23/2013,61.96,0,2/28/2013,1,7,0,0,0,0.0,1,1,0.00013259661066157934
406,83,3/3/2012,46937392,2013-05-16,6/15/2013,69.88,0,6/4/2013,0,19,0,0,1,5.0,2,1,0.00013259661066157934
818,37,8/28/2013,49331333,2013-05-29,6/28/2013,68.8,1,7/10/2013,1,42,12,1,0,13.0,2,1,11.99974557022743
818,26,1/9/2012,52765186,2013-10-20,11/19/2013,96.23,1,11/9/2013,0,20,0,0,0,2.0,4,1,0.00013259661066157934
818,44,5/31/2012,55416013,2012-11-30,12/30/2012,42.01,1,1/16/2013,0,47,17,1,0,20.0,4,0,16.999522940568923
406,59,4/30/2012,57081728,2012-11-04,12/4/2012,86.65,0,11/29/2012,0,25,0,0,0,2.0,4,1,0.00013259661066157934
770,70,2/6/2012,57781566,2012-06-24,7/24/2012,71.49,0,8/7/2012,0,44,14,1,0,20.0,2,1,13.999712607634727
818,48,9/1/2013,58393139,2013-01-06,2/5/2013,88.16,0,1/29/2013,1,23,0,0,0,0.0,1,1,0.00013259661066157934
391,98,1/3/2013,72380981,2013-02-16,3/18/2013,26.44,0,3/6/2013,0,18,0,0,0,2.0,1,0,0.00013259661066157934
897,79,12/5/2012,75181247,2012-02-18,3/19/2012,83.33,0,3/30/2012,1,41,11,1,0,26.0,1,1,10.999747079705323
391,76,3/3/2012,81932735,2012-01-24,2/23/2012,72.7,0,3/3/2012,1,39,9,1,0,11.0,1,1,8.999823963276807
818,74,2/21/2012,86171934,2013-05-29,6/28/2013,41.69,0,6/22/2013,0,24,0,0,0,6.0,2,0,0.00013259661066157934
770,30,3/8/2013,93006859,2012-12-24,1/23/2013,24.46,0,1/31/2013,1,38,8,1,1,19.0,4,0,7.999850134096203
406,18,9/24/2012,97717897,2013-03-31,4/30/2013,70.93,1,5/25/2013,0,55,25,1,0,14.0,1,1,24.99941364386662
818,81,1/22/2013,101415601,2012-05-31,6/30/2012,40.07,0,7/4/2012,1,34,4,1,0,22.0,2,0,3.9999164690535545
897,91,2/13/2013,101747306,2013-05-27,6/26/2013,58.19,0,5/29/2013,0,2,0,0,0,0.0,2,0,0.00013259661066157934
406,59,4/30/2012,103483331,2012-07-27,8/26/2012,72.13,0,8/18/2012,0,22,0,0,0,2.0,3,1,0.00013259661066157934
391,51,1/10/2013,104628267,2012-01-13,2/12/2012,72.72,0,2/4/2012,1,22,0,0,0,1.0,1,1,0.00013259661066157934
391,9,9/28/2012,106360977,2012-02-19,3/20/2012,93.48,1,3/26/2012,1,36,6,1,0,18.0,1,1,5.999884126939366
897,53,11/26/2012,106486147,2013-09-21,10/21/2013,46.55,0,9/25/2013,0,4,0,0,0,0.0,3,0,0.00013259661066157934
770,58,5/8/2013,110122785,2012-10-23,11/22/2012,32.58,0,11/30/2012,1,38,8,1,0,14.0,4,0,7.999850134096203
897,53,11/26/2012,120364375,2013-04-23,5/23/2013,34.63,0,4/24/2013,0,1,0,0,0,0.0,2,0,0.00013259661066157934
818,37,8/28/2013,121797094,2012-09-28,10/28/2012,89.15,0,10/30/2012,1,32,2,1,1,13.0,3,1,1.9999121309239414
391,2,4/6/2013,122662308,2013-08-05,9/4/2013,43.64,0,8/21/2013,0,16,0,0,0,1.0,3,0,0.00013259661066157934
770,70,2/6/2012,123645023,2012-12-22,1/21/2013,44.36,0,1/24/2013,0,33,3,1,1,20.0,4,0,2.9998896761404583
770,31,12/31/2012,131216793,2013-02-01,3/3/2013,56.65,0,2/5/2013,0,4,0,0,0,0.0,1,0,0.00013259661066157934
391,87,11/27/2012,135429278,2012-08-02,9/1/2012,58.2,0,8/24/2012,1,22,0,0,0,8.0,3,0,0.00013259661066157934
391,19,10/19/2012,145315244,2013-08-19,9/18/2013,83.05,0,9/6/2013,0,18,0,0,0,0.0,3,1,0.00013259661066157934
391,84,8/3/2013,152050637,2013-02-13,3/15/2013,60.03,0,3/11/2013,1,26,0,0,0,7.0,1,1,0.00013259661066157934
406,59,4/30/2012,152808559,2012-09-11,10/11/2012,59.01,0,9/29/2012,0,18,0,0,0,2.0,3,0,0.00013259661066157934
406,12,8/10/2012,173814675,2013-04-27,5/27/2013,66.85,0,5/27/2013,0,30,0,0,0,15.0,2,1,0.00013259661066157934
818,77,11/10/2012,176356154,2012-08-20,9/19/2012,78.83,1,10/3/2012,1,44,14,1,0,7.0,3,1,13.999712607634727
770,93,7/9/2012,176953642,2013-09-10,10/10/2013,65.0,0,10/17/2013,0,37,7,1,0,12.0,3,1,6.9998328850020775
391,46,11/11/2012,176959210,2012-08-30,9/29/2012,57.18,0,9/19/2012,1,20,0,0,0,2.0,3,0,0.00013259661066157934
391,57,8/2/2012,180192586,2012-08-02,9/1/2012,74.65,0,9/18/2012,1,47,17,1,0,25.0,3,1,16.999522940568923
391,84,8/3/2013,186123387,2012-06-09,7/9/2012,59.85,0,7/8/2012,1,29,0,0,0,7.0,2,0,0.00013259661066157934
406,34,3/19/2013,186768686,2012-06-10,7/10/2012,40.54,1,7/11/2012,1,31,1,1,0,15.0,2,0,0.9999137284800171
391,15,5/22/2012,189882917,2012-09-03,10/3/2012,51.44,0,10/17/2012,0,44,14,1,0,16.0,3,0,13.999712607634727
770,43,12/31/2012,190687025,2013-07-15,8/14/2013,28.43,0,8/2/2013,0,18,0,0,0,13.0,3,0,0.00013259661066157934
406,95,3/17/2012,195093797,2013-11-02,12/2/2013,78.73,1,12/4/2013,0,32,2,1,0,13.0,4,1,1.9999121309239414
897,52,10/26/2012,195359114,2012-08-29,9/28/2012,56.26,1,9/21/2012,1,23,0,0,0,0.0,3,0,0.00013259661066157934
391,41,8/9/2013,202519703,2013-02-10,3/12/2013,77.26,0,3/13/2013,1,31,1,1,0,15.0,1,1,0.9999137284800171
406,35,4/4/2013,203036054,2012-09-23,10/23/2012,64.6,0,10/15/2012,1,22,0,0,0,13.0,3,1,0.00013259661066157934
406,40,9/11/2012,204757285,2012-01-13,2/12/2012,54.44,0,1/27/2012,1,14,0,0,0,2.0,1,0,0.00013259661066157934
897,5,6/24/2012,206372278,2013-08-14,9/13/2013,49.04,0,9/21/2013,0,38,8,1,0,32.0,3,0,7.999850134096203
406,78,8/24/2012,208940420,2013-12-01,12/31/2013,70.45,1,1/4/2014,0,34,4,1,0,11.0,4,1,3.9999164690535545
391,80,3/19/2013,213324193,2012-10-13,11/12/2012,66.12,0,10/22/2012,1,9,0,0,0,0.0,4,1,0.00013259661066157934
391,87,11/27/2012,217272343,2013-09-22,10/22/2013,49.88,1,10/23/2013,0,31,1,1,0,8.0,3,0,0.9999137284800171
391,27,4/9/2013,218034886,2013-02-01,3/3/2013,38.64,0,3/5/2013,1,32,2,1,0,6.0,1,0,1.9999121309239414
770,60,9/29/2012,222477564,2012-03-08,4/7/2012,65.7,1,4/9/2012,1,32,2,1,0,5.0,1,1,1.9999121309239414
818,47,6/6/2013,232048622,2012-03-14,4/13/2012,67.6,0,4/11/2012,1,28,0,0,1,6.0,1,1,0.00013259661066157934
391,87,11/27/2012,237437528,2012-12-09,1/8/2013,35.69,1,1/15/2013,0,37,7,1,1,8.0,4,0,6.9998328850020775
391,9,9/28/2012,246081324,2012-09-06,10/6/2012,92.53,1,10/13/2012,1,37,7,1,1,18.0,3,1,6.9998328850020775
897,91,2/13/2013,254550541,2012-12-28,1/27/2013,61.59,0,1/8/2013,1,11,0,0,0,0.0,4,1,0.00013259661066157934
406,35,4/4/2013,261246477,2013-10-20,11/19/2013,94.47,0,11/5/2013,0,16,0,0,0,13.0,4,1,0.00013259661066157934
391,87,11/27/2012,263678657,2012-09-10,10/10/2012,38.0,0,10/11/2012,1,31,1,1,2,8.0,3,0,0.9999137284800171
391,76,3/3/2012,270702396,2012-10-31,11/30/2012,50.24,0,11/25/2012,0,25,0,0,1,11.0,4,0,0.00013259661066157934
818,47,6/6/2013,273425635,2012-02-07,3/8/2012,113.76,1,3/19/2012,1,41,11,1,1,6.0,1,1,10.999747079705323
406,32,5/19/2012,274057720,2012-05-07,6/6/2012,50.96,0,5/13/2012,1,6,0,0,0,0.0,2,0,0.00013259661066157934
770,100,3/18/2012,277331044,2012-11-02,12/2/2012,73.25,0,11/26/2012,0,24,0,0,0,17.0,4,1,0.00013259661066157934
770,31,12/31/2012,280670965,2012-01-03,2/2/2012,50.39,0,1/23/2012,1,20,0,0,0,0.0,1,0,0.00013259661066157934
391,2,4/6/2013,281287578,2012-10-28,11/27/2012,76.81,0,11/19/2012,1,22,0,0,0,1.0,4,1,0.00013259661066157934
897,52,10/26/2012,282342168,2012-02-06,3/7/2012,63.28,0,2/20/2012,1,14,0,0,0,0.0,1,1,0.00013259661066157934
406,49,7/13/2012,284482411,2013-02-14,3/16/2013,87.9,1,3/17/2013,0,31,1,1,0,2.0,1,1,0.9999137284800171
897,11,9/14/2012,285510254,2012-04-05,5/5/2012,27.05,0,5/28/2012,1,53,23,1,0,16.0,2,0,23.002462696101286
897,79,12/5/2012,286008070,2013-02-26,3/28/2013,53.45,0,3/31/2013,0,33,3,1,1,26.0,1,0,2.9998896761404583
406,78,8/24/2012,287254498,2012-01-22,2/21/2012,72.49,0,2/21/2012,1,30,0,0,1,11.0,1,1,0.00013259661066157934
406,32,5/19/2012,291694356,2013-02-27,3/29/2013,69.65,1,3/11/2013,0,12,0,0,0,0.0,1,1,0.00013259661066157934
406,67,7/19/2013,296503272,2012-07-03,8/2/2012,61.25,1,8/7/2012,1,35,5,1,0,9.0,3,1,4.9998847659514
770,70,2/6/2012,298536056,2013-03-12,4/11/2013,70.85,1,5/6/2013,0,55,25,1,2,20.0,1,1,24.999482630050025
897,52,10/26/2012,299012002,2013-11-29,12/29/2013,41.97,0,12/13/2013,0,14,0,0,0,0.0,4,0,0.00013259661066157934
770,72,8/5/2012,300108731,2013-11-30,12/30/2013,49.71,1,1/6/2014,0,37,7,1,0,7.0,4,0,6.9998328850020775
391,39,6/20/2012,302496633,2012-07-04,8/3/2012,72.65,0,7/26/2012,0,22,0,0,0,5.0,3,1,0.00013259661066157934
406,49,7/13/2012,308536412,2012-11-25,12/25/2012,73.73,0,12/1/2012,0,6,0,0,1,2.0,4,1,0.00013259661066157934
406,25,9/15/2012,312361525,2012-07-05,8/4/2012,66.13,1,8/13/2012,1,39,9,1,0,23.0,3,1,8.999823963276807
406,40,9/11/2012,320318018,2013-03-23,4/22/2013,80.71,0,3/24/2013,0,1,0,0,0,2.0,1,1,0.00013259661066157934
406,40,9/11/2012,321937283,2013-05-25,6/24/2013,72.85,1,6/8/2013,0,14,0,0,0,2.0,2,1,0.00013259661066157934
818,26,1/9/2012,326671411,2012-12-27,1/26/2013,88.5,1,1/18/2013,0,22,0,0,0,2.0,4,1,0.00013259661066157934
391,71,9/15/2013,329307404,2012-08-02,9/1/2012,68.53,1,9/9/2012,1,38,8,1,0,7.0,3,1,7.999850134096203
818,44,5/31/2012,333420180,2013-11-10,12/10/2013,60.6,1,12/12/2013,0,32,2,1,1,20.0,4,1,1.9999121309239414
818,23,4/28/2013,354407690,2013-04-12,5/12/2013,45.56,0,4/17/2013,1,5,0,0,0,0.0,2,0,0.00013259661066157934
770,17,7/31/2012,355095997,2012-12-12,1/11/2013,31.38,0,1/5/2013,0,24,0,0,0,2.0,4,0,0.00013259661066157934
391,28,8/29/2012,360452276,2012-01-30,2/29/2012,56.37,0,2/20/2012,1,21,0,0,0,0.0,1,0,0.00013259661066157934
818,23,4/28/2013,367399005,2013-08-10,9/9/2013,58.78,0,8/10/2013,0,0,0,0,0,0.0,3,0,0.00013259661066157934
406,32,5/19/2012,368163381,2013-08-23,9/22/2013,62.68,1,9/11/2013,0,19,0,0,0,0.0,3,1,0.00013259661066157934
770,60,9/29/2012,371943035,2013-10-24,11/23/2013,76.69,0,11/15/2013,0,22,0,0,1,5.0,4,1,0.00013259661066157934
391,39,6/20/2012,374328279,2013-07-08,8/7/2013,60.0,0,8/2/2013,0,25,0,0,0,5.0,3,0,0.00013259661066157934
770,72,8/5/2012,374625254,2013-04-03,5/3/2013,37.82,0,4/25/2013,0,22,0,0,1,7.0,2,0,0.00013259661066157934
897,90,6/3/2013,374628242,2013-05-09,6/8/2013,29.93,0,5/28/2013,1,19,0,0,0,3.0,2,0,0.00013259661066157934
391,15,5/22/2012,380292674,2013-03-02,4/1/2013,26.83,0,4/10/2013,0,39,9,1,1,16.0,1,0,8.999823963276807
897,82,1/11/2013,381841466,2013-11-12,12/12/2013,32.95,0,11/15/2013,0,3,0,0,0,1.0,4,0,0.00013259661066157934
391,21,1/26/2012,385813290,2012-05-07,6/6/2012,73.9,0,5/8/2012,0,1,0,0,0,0.0,2,1,0.00013259661066157934
770,50,9/11/2012,387380707,2012-08-20,9/19/2012,62.95,0,9/15/2012,1,26,0,0,0,1.0,3,1,0.00013259661066157934
818,26,1/9/2012,391669562,2012-08-08,9/7/2012,71.98,1,9/4/2012,0,27,0,0,0,2.0,3,1,0.00013259661066157934
406,63,6/4/2012,401983784,2013-08-17,9/16/2013,51.6,0,9/4/2013,0,18,0,0,0,0.0,3,0,0.00013259661066157934
897,82,1/11/2013,420999665,2013-04-21,5/21/2013,34.12,1,5/10/2013,0,19,0,0,0,1.0,2,0,0.00013259661066157934
391,28,8/29/2012,423629217,2012-08-09,9/8/2012,57.34,0,9/3/2012,1,25,0,0,0,0.0,3,0,0.00013259661066157934
406,40,9/11/2012,428154463,2012-05-03,6/2/2012,39.51,0,5/21/2012,1,18,0,0,0,2.0,2,0,0.00013259661066157934
391,57,8/2/2012,428957919,2012-02-13,3/14/2012,86.74,0,3/30/2012,1,46,16,1,1,25.0,1,1,15.999585705193477
406,36,7/4/2012,449356610,2013-01-04,2/3/2013,77.46,0,1/24/2013,0,20,0,0,0,3.0,1,1,0.00013259661066157934
391,41,8/9/2013,451448142,2012-11-20,12/20/2012,55.81,0,12/15/2012,1,25,0,0,1,15.0,4,0,0.00013259661066157934
406,63,6/4/2012,472551457,2013-07-20,8/19/2013,66.28,0,8/4/2013,0,15,0,0,0,0.0,3,1,0.00013259661066157934
391,2,4/6/2013,476918544,2013-02-14,3/16/2013,55.21,0,3/3/2013,1,17,0,0,0,1.0,1,0,0.00013259661066157934
391,84,8/3/2013,479534953,2013-04-13,5/13/2013,65.83,0,6/2/2013,1,50,20,1,0,7.0,2,1,19.99988028596407
770,33,6/27/2013,485064626,2012-10-06,11/5/2012,80.31,0,11/13/2012,1,38,8,1,0,25.0,4,1,7.999850134096203
770,72,8/5/2012,488925270,2013-05-18,6/17/2013,40.54,0,6/7/2013,0,20,0,0,1,7.0,2,0,0.00013259661066157934
770,6,4/9/2013,489697015,2012-04-16,5/16/2012,41.44,0,5/22/2012,1,36,6,1,0,10.0,2,0,5.999884126939366
770,58,5/8/2013,490252754,2013-05-08,6/7/2013,36.29,0,6/14/2013,1,37,7,1,1,14.0,2,0,6.9998328850020775
770,20,4/3/2013,493580936,2012-06-17,7/17/2012,60.22,1,7/24/2012,1,37,7,1,0,1.0,2,1,6.9998328850020775
391,89,4/22/2012,496849530,2013-06-02,7/2/2013,59.71,0,6/16/2013,0,14,0,0,0,1.0,2,0,0.00013259661066157934
897,53,11/26/2012,497305913,2012-11-07,12/7/2012,54.74,1,11/29/2012,1,22,0,0,0,0.0,4,0,0.00013259661066157934
406,49,7/13/2012,498009655,2012-08-24,9/23/2012,76.34,1,9/19/2012,0,26,0,0,1,2.0,3,1,0.00013259661066157934
897,11,9/14/2012,500975230,2013-04-18,5/18/2013,37.81,0,5/23/2013,0,35,5,1,1,16.0,2,0,4.9998847659514
897,52,10/26/2012,511851896,2012-12-26,1/25/2013,8.27,0,1/6/2013,0,11,0,0,0,0.0,4,0,0.00013259661066157934
391,76,3/3/2012,512194602,2012-03-28,4/27/2012,64.4,0,4/28/2012,0,31,1,1,1,11.0,1,1,0.9999137284800171
770,3,3/4/2013,514496777,2012-09-14,10/14/2012,32.86,0,10/17/2012,1,33,3,1,0,14.0,3,0,2.9998896761404583
770,62,4/30/2012,519700354,2012-03-09,4/8/2012,32.17,0,4/18/2012,1,40,10,1,0,23.0,1,0,9.999821092604682
897,99,7/8/2013,523612895,2012-04-17,5/17/2012,28.77,0,5/24/2012,1,37,7,1,0,23.0,2,0,6.9998328850020775
391,56,1/8/2013,524611481,2012-10-05,11/4/2012,57.86,0,10/23/2012,1,18,0,0,0,0.0,4,0,0.00013259661066157934
406,42,9/30/2013,524798729,2013-10-19,11/18/2013,57.78,0,11/16/2013,0,28,0,0,0,20.0,4,0,0.00013259661066157934
406,38,11/27/2013,528993923,2013-02-22,3/24/2013,90.22,0,3/14/2013,1,20,0,0,0,9.0,1,1,0.00013259661066157934
391,51,1/10/2013,533597326,2012-08-20,9/19/2012,65.49,0,9/12/2012,1,23,0,0,0,1.0,3,1,0.00013259661066157934
391,41,8/9/2013,535335924,2012-07-10,8/9/2012,57.88,0,8/21/2012,1,42,12,1,1,15.0,3,0,11.99974557022743
391,19,10/19/2012,535641538,2012-04-26,5/26/2012,65.01,0,5/18/2012,1,22,0,0,0,0.0,2,1,0.00013259661066157934
406,18,9/24/2012,537837854,2012-02-21,3/22/2012,79.51,0,4/7/2012,1,46,16,1,1,14.0,1,1,15.999585705193477
406,78,8/24/2012,540061441,2013-01-30,3/1/2013,85.5,0,2/13/2013,0,14,0,0,1,11.0,1,1,0.00013259661066157934
897,52,10/26/2012,540659475,2013-02-05,3/7/2013,39.33,1,3/6/2013,0,29,0,0,0,0.0,1,0,0.00013259661066157934
770,60,9/29/2012,552732928,2013-06-16,7/16/2013,62.26,0,7/3/2013,0,17,0,0,1,5.0,2,1,0.00013259661066157934
406,95,3/17/2012,555108669,2012-05-02,6/1/2012,116.78,1,5/23/2012,0,21,0,0,1,13.0,2,1,0.00013259661066157934
770,33,6/27/2013,557941160,2013-09-01,10/1/2013,73.77,1,10/16/2013,0,45,15,1,1,25.0,3,1,14.99965563892782
818,81,1/22/2013,561711596,2013-04-16,5/16/2013,37.38,1,5/21/2013,0,35,5,1,1,22.0,2,0,4.9998847659514
818,45,7/15/2013,565497922,2012-10-30,11/29/2012,60.8,0,11/24/2012,1,25,0,0,0,8.0,4,1,0.00013259661066157934
770,33,6/27/2013,572625167,2013-05-24,6/23/2013,102.98,0,6/25/2013,1,32,2,1,2,25.0,2,1,1.9999121309239414
406,35,4/4/2013,572998733,2012-04-19,5/19/2012,70.02,0,5/21/2012,1,32,2,1,0,13.0,2,1,1.9999121309239414
897,5,6/24/2012,578091983,2012-12-13,1/12/2013,36.09,0,1/30/2013,0,48,18,1,1,32.0,4,0,17.99944578599939
897,99,7/8/2013,586870094,2012-03-29,4/28/2012,14.94,1,5/13/2012,1,45,15,1,1,23.0,1,0,14.999724625111226
391,41,8/9/2013,588467684,2013-03-12,4/11/2013,46.63,0,4/11/2013,1,30,0,0,2,15.0,1,0,0.00013259661066157934
391,7,6/20/2013,598324396,2012-07-07,8/6/2012,10.92,0,8/16/2012,1,40,10,1,0,11.0,3,0,9.999821092604682
818,81,1/22/2013,601440262,2012-05-30,6/29/2012,42.76,1,7/9/2012,1,40,10,1,2,22.0,2,0,9.999821092604682
391,98,1/3/2013,601606458,2012-10-25,11/24/2012,50.97,0,11/16/2012,1,22,0,0,0,2.0,4,0,0.00013259661066157934
391,89,4/22/2012,604769805,2013-02-21,3/23/2013,73.59,0,3/1/2013,0,8,0,0,0,1.0,1,1,0.00013259661066157934
770,100,3/18/2012,606876865,2013-03-09,4/8/2013,46.61,0,4/16/2013,0,38,8,1,0,17.0,1,0,7.999850134096203
406,32,5/19/2012,607578995,2012-09-28,10/28/2012,60.14,0,10/4/2012,0,6,0,0,0,0.0,3,1,0.00013259661066157934
391,21,1/26/2012,608187073,2013-05-25,6/24/2013,56.09,0,5/28/2013,0,3,0,0,0,0.0,2,0,0.00013259661066157934
391,7,6/20/2013,608905626,2012-09-27,10/27/2012,61.07,0,10/23/2012,1,26,0,0,1,11.0,3,1,0.00013259661066157934
406,35,4/4/2013,613092852,2013-03-07,4/6/2013,90.34,0,4/8/2013,1,32,2,1,1,13.0,1,1,1.9999121309239414
818,26,1/9/2012,617172736,2013-04-03,5/3/2013,77.79,1,5/3/2013,0,30,0,0,0,2.0,2,1,0.00013259661066157934
818,55,11/26/2012,620329407,2013-02-15,3/17/2013,76.5,1,4/1/2013,0,45,15,1,1,9.0,1,1,14.99965563892782
406,73,12/15/2012,624274413,2013-08-14,9/13/2013,44.09,0,9/24/2013,0,41,11,1,0,17.0,3,0,10.999747079705323
770,17,7/31/2012,627613977,2012-04-06,5/6/2012,35.67,0,5/3/2012,1,27,0,0,0,2.0,2,0,0.00013259661066157934
897,68,4/4/2012,631345640,2013-09-19,10/19/2013,23.62,0,10/13/2013,0,24,0,0,0,5.0,3,0,0.00013259661066157934
770,86,4/30/2013,633253847,2013-04-01,5/1/2013,50.95,0,4/25/2013,1,24,0,0,0,5.0,2,0,0.00013259661066157934
770,86,4/30/2013,640587193,2012-12-24,1/23/2013,64.18,0,1/18/2013,1,25,0,0,0,5.0,4,1,0.00013259661066157934
406,36,7/4/2012,641122100,2012-11-03,12/3/2012,49.01,0,11/28/2012,0,25,0,0,0,3.0,4,0,0.00013259661066157934
391,9,9/28/2012,641300165,2013-09-12,10/12/2013,94.57,1,10/14/2013,0,32,2,1,2,18.0,3,1,1.9999121309239414
818,81,1/22/2013,641436694,2013-02-11,3/13/2013,26.37,0,3/4/2013,0,21,0,0,3,22.0,1,0,0.00013259661066157934
391,71,9/15/2013,642684114,2012-06-20,7/20/2012,63.36,0,7/8/2012,1,18,0,0,1,7.0,2,1,0.00013259661066157934
391,15,5/22/2012,645045061,2012-10-26,11/25/2012,43.18,0,11/24/2012,0,29,0,0,2,16.0,4,0,0.00013259661066157934
391,51,1/10/2013,647569317,2013-10-20,11/19/2013,92.57,0,11/1/2013,0,12,0,0,0,1.0,4,1,0.00013259661066157934
818,81,1/22/2013,649688883,2013-11-03,12/3/2013,52.14,0,11/28/2013,0,25,0,0,3,22.0,4,0,0.00013259661066157934
391,46,11/11/2012,649771974,2013-04-26,5/26/2013,68.35,0,5/7/2013,0,11,0,0,0,2.0,2,1,0.00013259661066157934
818,77,11/10/2012,658936368,2013-05-17,6/16/2013,69.82,0,6/3/2013,0,17,0,0,1,7.0,2,1,0.00013259661066157934
406,42,9/30/2013,659596494,2012-12-05,1/4/2013,75.65,1,1/14/2013,1,40,10,1,0,20.0,4,1,9.999821092604682
818,75,8/29/2013,666874152,2012-08-18,9/17/2012,57.38,1,9/29/2012,1,42,12,1,0,26.0,3,0,11.99974557022743
391,15,5/22/2012,672948510,2012-11-09,12/9/2012,57.37,0,12/5/2012,0,26,0,0,2,16.0,4,0,0.00013259661066157934
818,47,6/6/2013,674518601,2012-07-28,8/27/2012,94.42,0,8/18/2012,1,21,0,0,2,6.0,3,1,0.00013259661066157934
818,13,3/16/2013,676551273,2012-10-13,11/12/2012,82.74,0,12/1/2012,1,49,19,1,0,20.0,4,1,18.999463975670416
770,64,6/17/2012,678458928,2012-08-21,9/20/2012,67.74,0,9/7/2012,0,17,0,0,0,2.0,3,1,0.00013259661066157934
770,14,11/12/2012,679404840,2013-10-07,11/6/2013,49.73,0,10/17/2013,0,10,0,0,0,1.0,4,0,0.00013259661066157934
818,88,10/16/2013,681101344,2012-08-27,9/26/2012,85.06,0,9/22/2012,1,26,0,0,0,19.0,3,1,0.00013259661066157934
406,67,7/19/2013,681889913,2013-07-24,8/23/2013,48.17,1,8/22/2013,0,29,0,0,1,9.0,3,0,0.00013259661066157934
770,100,3/18/2012,684720070,2012-04-03,5/3/2012,66.25,1,5/15/2012,0,42,12,1,1,17.0,2,1,11.99974557022743
406,95,3/17/2012,685917930,2012-10-13,11/12/2012,124.38,1,11/10/2012,0,28,0,0,1,13.0,4,1,0.00013259661066157934
818,88,10/16/2013,689403769,2013-09-29,10/29/2013,76.09,1,11/11/2013,1,43,13,1,0,19.0,3,1,12.999722277465146
406,67,7/19/2013,700683520,2012-02-11,3/12/2012,65.67,1,3/12/2012,1,30,0,0,1,9.0,1,1,0.00013259661066157934
391,80,3/19/2013,703104577,2013-03-31,4/30/2013,73.49,0,4/2/2013,0,2,0,0,0,0.0,1,1,0.00013259661066157934
406,40,9/11/2012,704405155,2012-04-28,5/28/2012,67.34,0,5/15/2012,1,17,0,0,0,2.0,2,1,0.00013259661066157934
406,12,8/10/2012,705084741,2013-05-02,6/1/2013,56.39,0,5/28/2013,0,26,0,0,0,15.0,2,0,0.00013259661066157934
406,67,7/19/2013,706375400,2013-05-12,6/11/2013,54.99,1,6/15/2013,1,34,4,1,1,9.0,2,0,3.9999164690535545
897,24,4/2/2013,725765758,2012-04-08,5/8/2012,76.71,1,5/25/2012,1,47,17,1,0,5.0,2,1,16.999522940568923
770,58,5/8/2013,726197794,2013-04-11,5/11/2013,41.94,1,5/22/2013,1,41,11,1,2,14.0,2,0,10.999747079705323
818,75,8/29/2013,728378151,2013-06-25,7/25/2013,80.68,1,8/8/2013,1,44,14,1,1,26.0,2,1,13.999712607634727
818,48,9/1/2013,733170200,2012-12-09,1/8/2013,71.71,0,12/29/2012,1,20,0,0,0,0.0,4,1,0.00013259661066157934
